date,amount,category,description
01-08-2023,1500.00,Income,Salary payment
02-08-2023,200.00,Expense,Monthly rent
03-08-2023,50.00,Expense,Grocery shopping
04-08-2023,75.00,Expense,Dining out
05-08-2023,100.00,Income,Freelance project
06-08-2023,25.00,Expense,Internet bill
07-08-2023,500.00,Income,Bonus payment
08-08-2023,35.00,Expense,Gas refill
09-08-2023,20.00,Expense,Coffee with friends
10-08-2023,250.00,Income,Side business
11-08-2023,80.00,Expense,Utility bill
12-08-2023,40.00,Expense,Transportation fare
13-08-2023,150.00,Income,Stock dividends
14-08-2023,100.00,Expense,Clothing purchase
15-08-2023,30.00,Expense,Movie tickets
16-08-2023,120.00,Income,Freelance design work
17-08-2023,55.00,Expense,Gym membership
18-08-2023,60.00,Expense,Grocery shopping
19-08-2023,75.00,Income,Selling old furniture
20-08-2023,200.00,Expense,Monthly rent
21-08-2023,150.00,Income,Photography gig
22-08-2023,15.00,Expense,Fast food
23-08-2023,250.00,Expense,Car maintenance
24-08-2023,400.00,Income,Freelance writing project
25-08-2023,45.00,Expense,Dinner with family
26-08-2023,30.00,Expense,Subscription service
27-08-2023,300.00,Income,Consulting work
28-08-2023,50.00,Expense,Grocery shopping
29-08-2023,20.00,Expense,Gas refill
30-08-2023,600.00,Income,Part-time job
31-08-2023,100.00,Expense,Monthly savings deposit



